교통수단,노선번호,승차인원,하차인원
지하철,1호선,23963.32857142857,23378.3
지하철,2호선,27331.96285714286,27736.737142857142
지하철,3호선,15509.699152542373,15390.694915254237
지하철,4호선,19627.483516483517,20007.945054945056
지하철,5호선,11488.525510204081,11406.308673469388
지하철,6호선,9021.439393939394,8933.079545454546
지하철,7호선,13963.880952380952,13741.316326530612
지하철,8호선,10449.960317460318,10456.166666666666
지하철,9호선,11355.805714285714,11481.617142857143
지하철,9호선2~3단계,8064.175824175824,7996.659340659341
지하철,경강선,3025.805194805195,2910.246753246753
지하철,경부선,11751.076923076924,11640.029304029304
지하철,경원선,7070.190243902439,6831.317073170731
지하철,경의선,4420.449735449735,4310.428571428572
지하철,경인선,13782.135714285714,13449.157142857142
지하철,경춘선,2151.6165413533836,2056.278195488722
지하철,공항철도 1호선,9071.459183673469,8350.132653061224
지하철,과천선,13169.357142857143,13068.142857142857
지하철,분당선,10682.987654320988,11038.781893004116
지하철,서해선,3028.6666666666665,3080.4285714285716
지하철,수인선,3552.2619047619046,3459.4285714285716
지하철,신림선,3977.7922077922076,3918.4805194805194
지하철,안산선,9407.824175824177,9391.296703296703
지하철,우이신설선,3654.868131868132,3539.802197802198
지하철,일산선,10754.041666666666,10331.152777777777
지하철,장항선,2680.1020408163267,2547.4897959183672
지하철,중앙선,4603.4625850340135,4430.380952380952
